date,symbol,funding_rate_sum,funding_rate_mean,funding_events
2023-05-01,BTCUSDT,-3.3690000000000004e-05,-1.1230000000000001e-05,3
2023-05-02,BTCUSDT,8.307e-05,2.769e-05,3
2023-05-03,BTCUSDT,0.00019704,6.568e-05,3
2023-05-04,BTCUSDT,0.00024306000000000002,8.102000000000001e-05,3
2023-05-05,BTCUSDT,0.00022188,7.396e-05,3
2023-05-06,BTCUSDT,0.00030000000000000003,0.0001,3
2023-05-07,BTCUSDT,0.00014414,4.804666666666667e-05,3
2023-05-08,BTCUSDT,5.029e-05,1.6763333333333333e-05,3
2023-05-09,BTCUSDT,0.00012329,4.109666666666666e-05,3
2023-05-10,BTCUSDT,0.00012329,4.109666666666666e-05,3
2023-05-11,BTCUSDT,0.00013729,4.5763333333333336e-05,3
2023-05-12,BTCUSDT,0.00010359,3.453e-05,3
2023-05-13,BTCUSDT,9.869e-05,3.2896666666666666e-05,3
2023-05-14,BTCUSDT,8.291e-05,2.763666666666667e-05,3
2023-05-15,BTCUSDT,2.6410000000000003e-05,8.803333333333334e-06,3
2023-05-16,BTCUSDT,0.00017625,5.875e-05,3
2023-05-17,BTCUSDT,0.00019882,6.627333333333333e-05,3
2023-05-18,BTCUSDT,0.00028342,9.447333333333334e-05,3
2023-05-19,BTCUSDT,0.00011005,3.6683333333333335e-05,3
2023-05-20,BTCUSDT,6.919e-05,2.3063333333333337e-05,3
2023-05-21,BTCUSDT,0.00017109,5.7029999999999994e-05,3
2023-05-22,BTCUSDT,7.999e-05,2.6663333333333333e-05,3
2023-05-23,BTCUSDT,0.00030000000000000003,0.0001,3
2023-05-24,BTCUSDT,0.00016429000000000001,5.476333333333334e-05,3
2023-05-25,BTCUSDT,0.0002582,8.606666666666667e-05,3
2023-05-26,BTCUSDT,0.00024536,8.178666666666667e-05,3
2023-05-27,BTCUSDT,0.00023072000000000001,7.690666666666667e-05,3
2023-05-28,BTCUSDT,0.0002988,9.96e-05,3
2023-05-29,BTCUSDT,0.00030000000000000003,0.0001,3
2023-05-30,BTCUSDT,0.00019084,6.361333333333334e-05,3
2023-05-31,BTCUSDT,0.00015073,5.024333333333333e-05,3
2023-06-01,BTCUSDT,0.00021737,7.245666666666667e-05,3
2023-06-02,BTCUSDT,0.00023982,7.994e-05,3
2023-06-03,BTCUSDT,0.00022986,7.662e-05,3
2023-06-04,BTCUSDT,0.0002485,8.283333333333335e-05,3
2023-06-05,BTCUSDT,0.00027393999999999997,9.131333333333332e-05,3
2023-06-06,BTCUSDT,-5.9159999999999996e-05,-1.9719999999999998e-05,3
2023-06-07,BTCUSDT,0.00024005,8.001666666666667e-05,3
2023-06-08,BTCUSDT,0.00012605,4.201666666666667e-05,3
2023-06-09,BTCUSDT,0.00018908,6.302666666666667e-05,3
2023-06-10,BTCUSDT,0.00014973,4.9909999999999995e-05,3
2023-06-11,BTCUSDT,0.00013571999999999998,4.5239999999999994e-05,3
2023-06-12,BTCUSDT,0.00015349,5.116333333333333e-05,3
2023-06-13,BTCUSDT,0.00022683000000000002,7.561e-05,3
2023-06-14,BTCUSDT,8.815e-05,2.9383333333333334e-05,3
2023-06-15,BTCUSDT,9.615e-05,3.205e-05,3
2023-06-16,BTCUSDT,4.988e-05,1.6626666666666664e-05,3
2023-06-17,BTCUSDT,0.00027411,9.137e-05,3
2023-06-18,BTCUSDT,0.00018644,6.214666666666667e-05,3
2023-06-19,BTCUSDT,0.00017127,5.7090000000000004e-05,3
2023-06-20,BTCUSDT,1.3049999999999999e-05,4.35e-06,3
2023-06-21,BTCUSDT,0.00018846,6.282e-05,3
2023-06-22,BTCUSDT,0.00029236,9.745333333333334e-05,3
2023-06-23,BTCUSDT,0.00030000000000000003,0.0001,3
2023-06-24,BTCUSDT,0.00030000000000000003,0.0001,3
2023-06-25,BTCUSDT,0.00030000000000000003,0.0001,3
2023-06-26,BTCUSDT,0.00030000000000000003,0.0001,3
2023-06-27,BTCUSDT,0.00030000000000000003,0.0001,3
2023-06-28,BTCUSDT,0.000239,7.966666666666667e-05,3
2023-06-29,BTCUSDT,0.00025874000000000003,8.624666666666668e-05,3
2023-06-30,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-01,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-02,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-03,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-04,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-05,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-06,BTCUSDT,0.00019212,6.404e-05,3
2023-07-07,BTCUSDT,4.261e-05,1.4203333333333333e-05,3
2023-07-08,BTCUSDT,8.074e-05,2.6913333333333335e-05,3
2023-07-09,BTCUSDT,0.00018681,6.227e-05,3
2023-07-10,BTCUSDT,5.663e-05,1.8876666666666665e-05,3
2023-07-11,BTCUSDT,0.00020229,6.743e-05,3
2023-07-12,BTCUSDT,0.0001817,6.0566666666666664e-05,3
2023-07-13,BTCUSDT,5.514e-05,1.838e-05,3
2023-07-14,BTCUSDT,0.00030000000000000003,0.0001,3
2023-07-15,BTCUSDT,-1.3220000000000002e-05,-4.406666666666667e-06,3
2023-07-16,BTCUSDT,0.00014348,4.782666666666667e-05,3
2023-07-17,BTCUSDT,0.00015324000000000002,5.1080000000000006e-05,3
2023-07-18,BTCUSDT,0.00018258,6.0860000000000003e-05,3
2023-07-19,BTCUSDT,0.00022914000000000002,7.638000000000001e-05,3
2023-07-20,BTCUSDT,0.00017856,5.952e-05,3
2023-07-21,BTCUSDT,7.371e-05,2.457e-05,3
2023-07-22,BTCUSDT,3.316e-05,1.1053333333333333e-05,3
2023-07-23,BTCUSDT,0.0002228,7.426666666666666e-05,3
2023-07-24,BTCUSDT,0.00024338000000000002,8.112666666666668e-05,3
2023-07-25,BTCUSDT,0.0002408,8.026666666666666e-05,3
2023-07-26,BTCUSDT,0.00025219,8.406333333333333e-05,3
2023-07-27,BTCUSDT,9.842e-05,3.2806666666666665e-05,3
2023-07-28,BTCUSDT,0.00021048,7.016e-05,3
2023-07-29,BTCUSDT,0.00022097000000000002,7.365666666666667e-05,3
2023-07-30,BTCUSDT,0.00018068,6.022666666666667e-05,3
2023-07-31,BTCUSDT,0.0001797,5.99e-05,3
2023-08-01,BTCUSDT,0.00023068,7.689333333333333e-05,3
2023-08-02,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-03,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-04,BTCUSDT,0.00028116,9.372e-05,3
2023-08-05,BTCUSDT,0.00024181000000000002,8.060333333333333e-05,3
2023-08-06,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-07,BTCUSDT,0.00027669,9.223e-05,3
2023-08-08,BTCUSDT,0.0002508,8.360000000000001e-05,3
2023-08-09,BTCUSDT,0.00026514,8.838e-05,3
2023-08-10,BTCUSDT,0.00028277,9.425666666666667e-05,3
2023-08-11,BTCUSDT,0.00027123,9.041000000000001e-05,3
2023-08-12,BTCUSDT,0.00029305,9.768333333333333e-05,3
2023-08-13,BTCUSDT,0.00024637,8.212333333333333e-05,3
2023-08-14,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-15,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-16,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-17,BTCUSDT,0.00030000000000000003,0.0001,3
2023-08-18,BTCUSDT,0.0001512,5.04e-05,3
2023-08-19,BTCUSDT,-5.8819999999999996e-05,-1.9606666666666666e-05,3
2023-08-20,BTCUSDT,-7.626e-05,-2.542e-05,3
2023-08-21,BTCUSDT,-3.6e-05,-1.2e-05,3
2023-08-22,BTCUSDT,8.12e-06,2.706666666666667e-06,3
2023-08-23,BTCUSDT,2.9659999999999997e-05,9.886666666666666e-06,3
2023-08-24,BTCUSDT,4.5839999999999995e-05,1.528e-05,3
2023-08-25,BTCUSDT,7.361e-05,2.4536666666666665e-05,3
2023-08-26,BTCUSDT,0.0001125,3.75e-05,3
2023-08-27,BTCUSDT,5.307e-05,1.769e-05,3
2023-08-28,BTCUSDT,8.553e-05,2.851e-05,3
2023-08-29,BTCUSDT,-6.340999999999999e-05,-2.1136666666666664e-05,3
2023-08-30,BTCUSDT,0.00014543,4.847666666666666e-05,3
2023-08-31,BTCUSDT,0.00017873000000000002,5.9576666666666675e-05,3
2023-09-01,BTCUSDT,0.00014805,4.935e-05,3
2023-09-02,BTCUSDT,4.917e-05,1.639e-05,3
2023-09-03,BTCUSDT,7.964e-05,2.6546666666666668e-05,3
2023-09-04,BTCUSDT,3.1e-05,1.0333333333333333e-05,3
2023-09-05,BTCUSDT,5.394e-05,1.798e-05,3
2023-09-06,BTCUSDT,1.109e-05,3.6966666666666667e-06,3
2023-09-07,BTCUSDT,0.00014637,4.879e-05,3
2023-09-08,BTCUSDT,-2.704e-05,-9.013333333333332e-06,3
2023-09-09,BTCUSDT,-4.011e-05,-1.337e-05,3
