,coefficient
const,-0.00965428969699805
BTC,0.3850024092536693
ETH,0.517238341452081
SOL,0.1353241077526022
DOGE,0.27823097408899583
SHIB,0.33857196916840615
PEPE_lag1,0.01733447224402709
PEPE_lag2,0.05438887416938701
PEPE_lag3,-0.024518053249375747
PEPE_lag5,0.03916033999513573
PEPE_momentum_7d_lag1,0.005292505220062184
PEPE_momentum_14d_lag1,-0.012487728897712087
PEPE_volatility_7d_lag1,-0.06712425065471181
PEPE_volatility_14d_lag1,0.06129823717316493
PEPE_volume_from_change_lag1,-0.0002519635644551486
PEPE_range_lag1,0.06603483030008703
BTC_volatility_14d_lag1,0.1517574227496574
BTC_range_lag1,-0.13910808064743688
BTC_funding_rate_sum_lag1,18.09003315764801
BTC_DVOL_change,0.0016225825418727008
M2_30d_change,0.4672676274996105
SOFR_change,0.0020969924401092353
DFF_change,0.011707143582815929
US_10Y_change,0.038124985123827206
VIX_change,-0.11967043591501363
High_yield_spread_change,0.0010401500138705615
Dollar_index_change,-0.7126924656142611
QQQ,-0.20833205878425343
SPY,-0.7355344680402167
GLD,-0.060505341899920385
SLV,-0.2046430291492339
