,coefficient
BTC,0.007449984694496565
ETH,0.013798826730974226
SOL,0.002426111058279394
DOGE,0.01329197351608115
SHIB,0.013505548607531588
PEPE_lag1,0.0
PEPE_lag2,0.0
PEPE_lag3,0.0
PEPE_lag5,0.0
PEPE_momentum_7d_lag1,0.0
PEPE_momentum_14d_lag1,0.0
PEPE_volatility_7d_lag1,0.0
PEPE_volatility_14d_lag1,0.0
PEPE_volume_from_change_lag1,0.0
PEPE_range_lag1,0.0
BTC_volatility_14d_lag1,0.0
BTC_range_lag1,0.0
BTC_funding_rate_sum_lag1,0.0
BTC_DVOL_change,0.0
M2_30d_change,0.0
SOFR_change,-0.0
DFF_change,0.0
US_10Y_change,0.0
VIX_change,-0.0
High_yield_spread_change,-0.0
Dollar_index_change,-0.0
QQQ,0.0
SPY,0.0
GLD,-0.0
SLV,-0.0
PEPE_SMA12,0.0
PEPE_SMA26,0.0
PEPE_RSI_14d_lag1,0.0
PEPE_BB_percent_b_20d_lag1,0.0
