alpha,l1_ratio,cv_r2_mean
0.0001,0.1,0.4787302855836707
0.0001,0.5,0.48624995171522817
0.0001,0.9,0.49308314510159057
0.001,0.1,0.49617826813632127
0.001,0.5,0.5472067603702874
0.001,0.9,0.5686356025128204
0.01,0.1,0.5732205458227565
0.01,0.5,0.6220161752419007
0.01,0.9,0.6253273017098683
0.1,0.1,0.6250489469431179
0.1,0.5,0.01618432721009786
0.1,0.9,-0.01279482275500694
1.0,0.1,-0.01279482275500694
1.0,0.5,-0.01279482275500694
1.0,0.9,-0.01279482275500694
10.0,0.1,-0.01279482275500694
10.0,0.5,-0.01279482275500694
10.0,0.9,-0.01279482275500694
