,PEPE,BTC,ETH,SOL,DOGE,SHIB,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5,PEPE_momentum_7d_lag1,PEPE_momentum_14d_lag1,PEPE_volatility_7d_lag1,PEPE_volatility_14d_lag1,PEPE_volume_from_change_lag1,PEPE_range_lag1,BTC_volatility_14d_lag1,BTC_range_lag1,BTC_funding_rate_sum_lag1,BTC_DVOL_change,M2_30d_change,SOFR_change,DFF_change,US_10Y_change,VIX_change,High_yield_spread_change,Dollar_index_change,QQQ,SPY,GLD,SLV,PEPE_SMA12,PEPE_SMA26,PEPE_RSI_14d_lag1,PEPE_BB_percent_b_20d_lag1
PEPE,1.0,0.6732126896944053,0.6883090223786177,0.6189828919188817,0.7329344410550389,0.7073079050211388,0.0397519563315568,0.05780554628153183,0.04146539449126895,0.0646903305096468,0.09729911733077101,0.06413972254641764,0.04697565084482287,0.06829647138995021,0.009779807555611305,0.0958919506346006,0.033494060082701026,0.03424815854200209,0.09805909612718781,-0.07683536113337064,0.02806332369936417,-0.025857422690065867,0.01956016695893132,0.02943200356778817,-0.2506806784116324,-0.15680129735138107,-0.06948279018275648,0.20999707118383146,0.21283161847243504,0.024387145398565777,0.06713054507067155,0.0708200002255762,0.05372913733325614,0.04185332074294516,0.07503008536152402
BTC,0.6732126896944053,1.0,0.8124624931555022,0.738096738741187,0.7590470801162964,0.6702811554638478,0.007225838059532205,-0.011896359043563396,0.022978582880398654,0.010473051232318202,0.038611055125514444,0.031087723810149372,-0.014888591312691272,0.011301598947234698,-0.0008527131436953854,0.011100134742989837,0.0031171967811488574,0.015267937667908371,0.010876772827239076,-0.16596877616497774,0.015948713757276682,-0.040379629106176165,-0.006915326147584945,0.02689319397274709,-0.3240782835229553,-0.21881789956224826,-0.08135704740623381,0.3213003237430337,0.32396202811303637,0.08131731256092485,0.14067446281465873,0.023146833639500767,0.027753993358954822,0.0120501092522163,0.031171671361453997
ETH,0.6883090223786177,0.8124624931555022,1.0,0.7200492733732572,0.7484062049219835,0.6651657317372436,0.023048840766535236,-0.01812216212943292,0.02586762820452696,0.026107877226977622,0.032594249441152565,0.03169253828933923,-0.0115442703120294,0.003822717438386207,-0.02094017670694827,0.0013447196111373827,-0.01790226591433541,0.0030768528150179287,0.008562548382013466,-0.20774579492192885,0.020449730455812706,-0.02043497852161637,0.0010278394405107358,0.013382638841403314,-0.3574750817237658,-0.25253469034024384,-0.09480541861967301,0.36598104068959125,0.3678527085964323,0.07275460208489201,0.14372724278749763,0.02276435107706781,0.027872265898522597,0.023241642663776905,0.03679598566408287
SOL,0.6189828919188817,0.738096738741187,0.7200492733732572,1.0,0.6774604607197457,0.6126584073436191,-0.019965442854921557,-0.01118252383336257,0.020169775147316892,0.013387153721009765,0.04261821745007535,0.060862919407143334,0.0065296744247623885,0.04752820059186376,-0.006094363584675009,0.03657410399426163,-0.005755653299742353,0.038878069988561095,0.0356624839294205,-0.13175920841012217,-0.002006829811404016,-0.041643071221903936,-0.009602180442011103,0.016490745467064034,-0.28239006399799566,-0.20052188869775517,-0.08296599866108381,0.2905882759661143,0.2910710468423214,0.03952203451483848,0.10920049131262058,0.04808996242563837,0.07396855749068025,0.030061033168738364,0.03549421752716209
DOGE,0.7329344410550389,0.7590470801162964,0.7484062049219835,0.6774604607197457,1.0,0.8136414377186623,0.05449039640855455,-0.01946421493128976,0.04159727106749332,0.039431044893290204,0.05738587866615948,0.04044685519390872,0.004586366522751565,0.026097494161629434,0.02556742111237343,0.047808010355533254,0.02872225406380044,0.04638248071126995,0.045796932754250806,-0.12549915064861575,0.04902667914329015,-0.041289124330959874,0.029541193304946065,0.022314052624903866,-0.2718716491329752,-0.18993697299826795,-0.061690845644653144,0.26832063590112265,0.27118742680345465,0.05377014242520109,0.10445959506682824,0.03581285550050042,0.0504619887825353,0.03060818168215593,0.04599191713274023
SHIB,0.7073079050211388,0.6702811554638478,0.6651657317372436,0.6126584073436191,0.8136414377186623,1.0,0.04625630471613653,-0.005324538839773265,0.09389430260429885,0.035669747163982725,0.10388647274193438,0.055722493938762156,0.06065419590419595,0.06512149664614694,0.011961742838018697,0.10589277256280953,0.025674382995469543,0.05698588430135915,0.07379246996600661,-0.1379850495304793,0.024631792999686722,-0.03909664805190226,0.020860007018539614,-0.007219967992490724,-0.21714479622338959,-0.15014774243317727,-0.09372649605287019,0.21702826673400077,0.21871568700548116,0.06914382589535707,0.10527980023072012,0.053557484910386755,0.0535233384666686,0.021802096447331887,0.030215629901823787
PEPE_lag1,0.0397519563315568,0.007225838059532205,0.023048840766535236,-0.019965442854921557,0.05449039640855455,0.04625630471613653,1.0,0.034656530359124575,0.056572099831885506,0.0011851100248659403,0.4271821012999071,0.2832120824654628,0.13803643226513568,0.11734302295065421,0.15677791905015653,0.11581554219482876,0.04449335175239356,0.0051533213245899545,0.0943943087739182,0.003819138293384226,0.0030645451381268334,0.019093953994206093,0.00569263766531191,-0.020170949409348486,-0.028967518788067085,-0.07295075771923852,-0.02798173141884342,0.012607794619076318,0.013170157428518074,-0.002986945053780428,0.006160525106763471,0.3224216950863435,0.2098024967908548,0.28344812511508155,0.46673579921856906
PEPE_lag2,0.05780554628153183,-0.011896359043563396,-0.01812216212943292,-0.01118252383336257,-0.01946421493128976,-0.005324538839773265,0.034656530359124575,1.0,0.035823328017376845,0.040130649903118376,0.4180807595332466,0.29671886915731704,0.1568040303106971,0.13888119423176848,-0.027952001157703545,0.13219832967295825,0.045853060873209756,-0.07119335353610004,0.14894107641542095,0.002340898664280668,0.014071131344926345,0.008943867976178464,-0.031432024578053656,-0.014538767312600613,0.004557298266359076,4.92299098821744e-05,0.024386881267125054,0.0021239345186195397,-0.0031042068189477984,0.014255762421194824,0.010468512183738725,0.3342387833949522,0.20908282797028452,0.2917215150364765,0.40257828081308983
PEPE_lag3,0.04146539449126895,0.022978582880398654,0.02586762820452696,0.020169775147316892,0.04159727106749332,0.09389430260429885,0.056572099831885506,0.035823328017376845,1.0,0.05621404998977031,0.4158375213522566,0.31900099111081615,0.1782166649030423,0.15911390611118992,0.033413963880123,0.1693712126680885,0.048941730420131634,0.019651334310391906,0.16308073490927766,0.022398386887013007,0.013890154624868102,-0.007083439830218018,-0.010983711597864735,-0.008414261789966966,0.030926352069252306,0.01690809380463066,0.014557175193344657,-0.01211549934290985,-0.019638447738377425,-0.04605952589178397,-0.01935121448893538,0.3377168923591859,0.21066073587377188,0.30362462257516915,0.35213659665391894
PEPE_lag5,0.0646903305096468,0.010473051232318202,0.026107877226977622,0.013387153721009765,0.039431044893290204,0.035669747163982725,0.0011851100248659403,0.040130649903118376,0.05621404998977031,1.0,0.41525602901502995,0.3187742544113702,0.20433081138055456,0.16463750125112256,-0.051869785448914345,0.13193889258580624,0.04691790259456937,-0.00447992039958277,0.1929526569336612,0.03956978602049682,-0.0070728248989751705,-0.012915897519469286,0.013888926672787414,0.01368948131834123,-0.013232185453217266,-0.014835771535299637,6.033268599879171e-05,0.024728391991722515,0.03005129459157583,0.031978859067603296,0.0610757730777647,0.3463039398323412,0.21888531599214617,0.2764971182380239,0.2650267207878623
PEPE_momentum_7d_lag1,0.09729911733077101,0.038611055125514444,0.032594249441152565,0.04261821745007535,0.05738587866615948,0.10388647274193438,0.4271821012999071,0.4180807595332466,0.4158375213522566,0.41525602901502995,1.0,0.7540848811456956,0.4266537212307998,0.3599527576743325,0.014678633530830638,0.2862718133897919,0.09406399607453736,-0.04501304420309818,0.3884243810228603,0.03186773072982357,0.00986458227976716,0.0006674491675245006,-0.010324076625877197,0.017807553318766753,0.010953718188958551,-0.041891154750340984,0.016695279159450033,0.008989780294735994,0.010504301973217601,-0.011381150561397865,0.01574538209531126,0.8137841085470354,0.5251360173660486,0.683495066585908,0.7743432040976718
PEPE_momentum_14d_lag1,0.06413972254641764,0.031087723810149372,0.03169253828933923,0.060862919407143334,0.04044685519390872,0.055722493938762156,0.2832120824654628,0.29671886915731704,0.31900099111081615,0.3187742544113702,0.7540848811456956,1.0,0.4173792475736571,0.5156217603017725,0.003539704373559891,0.30503489523283245,0.0852606748809318,-0.01025396744587321,0.4859153655156516,0.03751589302673421,0.022730745036694658,-0.02039460146509986,-0.006009353427381742,-0.007711091205901456,0.031082519785427882,-0.030118851379393994,0.006428418063780767,0.0005660036726838157,0.0068748824168850765,-0.006978107933984041,0.03177212377931008,0.9466692508509997,0.7489460387264575,0.8636709580788267,0.7467741790987528
PEPE_volatility_7d_lag1,0.04697565084482287,-0.014888591312691272,-0.0115442703120294,0.0065296744247623885,0.004586366522751565,0.06065419590419595,0.13803643226513568,0.1568040303106971,0.1782166649030423,0.20433081138055456,0.4266537212307998,0.4173792475736571,1.0,0.788857452620759,-0.030673207149235715,0.5743773170877533,0.46554572267710864,0.3000024433128873,0.41570995432306534,0.0047545898787520096,0.0178377453885355,-4.709926532123336e-05,0.0191580623421073,0.006550345360609057,-0.011895444230273335,-0.03345577601249193,-0.033445066609148005,-0.001234249476410636,0.01055116213781811,0.034350371348076156,0.013179348438042273,0.420628077053313,0.3980244962352853,0.26246148584828705,0.21626090873384418
