model,alpha,validation_month,train_rows,validation_rows,cv_r2
OLS,,2023-08,55,31,-0.8096289108720289
OLS,,2023-09,86,30,-0.9691280730024177
OLS,,2023-10,116,31,0.3661450033405863
OLS,,2023-11,147,30,0.19515367736437705
OLS,,2023-12,177,31,0.49068806122057573
OLS,,2024-01,208,31,0.5501940190357912
OLS,,2024-02,239,29,0.3694106335787004
OLS,,2024-03,268,31,0.5410617225984864
OLS,,2024-04,299,30,0.6544613512762654
OLS,,2024-05,329,31,-0.007221689857716207
OLS,,2024-06,360,30,0.314466443577719
OLS,,2024-07,390,31,0.6016397962765692
OLS,,2024-08,421,31,0.8059887312189681
OLS,,2024-09,452,30,0.6612325886717986
OLS,,2024-10,482,31,0.5672734856548725
OLS,,2024-11,513,30,0.016265553982398484
OLS,,2024-12,543,31,0.3792152880184545
OLS,,2025-01,574,31,0.6825217932571854
OLS,,2025-02,605,28,0.7260212689335648
OLS,,2025-03,633,31,0.5588217258650603
OLS,,2025-04,664,30,0.6520540325123283
OLS,,2025-05,694,31,0.7944860979409821
OLS,,2025-06,725,30,0.8435397220850835
OLS,,2025-07,755,31,0.8076117012981265
OLS,,2025-08,786,31,0.7133571911802656
OLS,,2025-09,817,30,0.8016516389763116
OLS,,2025-10,847,6,0.7566874659599294
Ridge,0.01,2023-08,55,31,-0.8077340301628972
Ridge,0.01,2023-09,86,30,-0.963695003797788
Ridge,0.01,2023-10,116,31,0.3662837768248989
Ridge,0.01,2023-11,147,30,0.19560372048543506
Ridge,0.01,2023-12,177,31,0.4908009885450597
Ridge,0.01,2024-01,208,31,0.5502912937806061
Ridge,0.01,2024-02,239,29,0.36941893583726737
Ridge,0.01,2024-03,268,31,0.5410756011806324
Ridge,0.01,2024-04,299,30,0.6544856556042487
Ridge,0.01,2024-05,329,31,-0.007191918207908543
Ridge,0.01,2024-06,360,30,0.31450283811317215
Ridge,0.01,2024-07,390,31,0.6016560676719752
Ridge,0.01,2024-08,421,31,0.8060048354027328
Ridge,0.01,2024-09,452,30,0.6612586965156942
Ridge,0.01,2024-10,482,31,0.5672942156538592
Ridge,0.01,2024-11,513,30,0.016284969977098274
Ridge,0.01,2024-12,543,31,0.3792224539907606
Ridge,0.01,2025-01,574,31,0.682524170652443
Ridge,0.01,2025-02,605,28,0.7260277752938467
Ridge,0.01,2025-03,633,31,0.5588299231515497
Ridge,0.01,2025-04,664,30,0.6520730753783066
Ridge,0.01,2025-05,694,31,0.7944873683010485
Ridge,0.01,2025-06,725,30,0.8435400523061102
Ridge,0.01,2025-07,755,31,0.807618179453237
Ridge,0.01,2025-08,786,31,0.7133666256816982
Ridge,0.01,2025-09,817,30,0.8016573941505452
Ridge,0.01,2025-10,847,6,0.7566911051553609
Ridge,0.1,2023-08,55,31,-0.7893242845456834
Ridge,0.1,2023-09,86,30,-0.9184508851562534
Ridge,0.1,2023-10,116,31,0.3674763028846464
Ridge,0.1,2023-11,147,30,0.19958222652959234
