,coefficient
const,-0.018033343756911
BTC,0.34496447299688915
ETH,0.5106818621902064
SOL,0.1415791414247058
DOGE,0.27646804167137207
SHIB,0.35784216878358754
PEPE_lag1,-0.006496710708746689
PEPE_lag2,0.03395818027533176
PEPE_lag3,-0.035566834396055805
PEPE_lag5,0.03470279742088871
PEPE_momentum_7d_lag1,-0.013608065983815709
PEPE_momentum_14d_lag1,-0.014917533182651222
PEPE_volatility_7d_lag1,-0.03979711009278203
PEPE_volatility_14d_lag1,0.12288177719409377
PEPE_volume_from_change_lag1,-0.0006055457718284814
PEPE_range_lag1,0.05773569400096384
BTC_volatility_14d_lag1,0.11127848986253601
BTC_range_lag1,-0.13992514202160874
BTC_funding_rate_sum_lag1,25.938466186273317
BTC_DVOL_change,0.001572695415511209
M2_30d_change,0.6313380068126333
SOFR_change,0.000940143566890022
DFF_change,0.026670662435006695
US_10Y_change,0.03619858529064306
VIX_change,-0.12155378243486001
High_yield_spread_change,0.0016022136746913496
Dollar_index_change,-0.7586389883802475
QQQ,-0.1544088077852997
SPY,-0.777099644501585
GLD,-0.06286589519794866
SLV,-0.1932311086133588
PEPE_SMA12,0.09605951492344314
PEPE_SMA26,-0.26468824962509974
PEPE_RSI_14d_lag1,-0.0002432187825195722
PEPE_BB_percent_b_20d_lag1,0.03159034985390586
