,coefficient
BTC,0.010016145955715513
ETH,0.013029537462703761
SOL,0.007709332624361278
DOGE,0.01256474649559706
SHIB,0.01352858305820584
PEPE_lag1,0.000717422494216277
PEPE_lag2,0.002536317548877078
PEPE_lag3,-0.001141311111426794
PEPE_lag5,0.0017885318149369743
PEPE_momentum_7d_lag1,0.00047252304690217255
PEPE_momentum_14d_lag1,-0.0013832458513589716
PEPE_volatility_7d_lag1,-0.0001054143583303033
PEPE_volatility_14d_lag1,0.0010779712705424522
PEPE_volume_from_change_lag1,-0.00013673609721464818
PEPE_range_lag1,0.002397647850401657
BTC_volatility_14d_lag1,0.0006660905638298067
BTC_range_lag1,-0.0011980837443402146
BTC_funding_rate_sum_lag1,0.0036915389072596665
BTC_DVOL_change,0.00229479525794796
M2_30d_change,0.0005953239516591295
SOFR_change,-0.00027354050392062486
DFF_change,0.0006168220856826917
US_10Y_change,0.0012427471171039223
VIX_change,-0.0038328186657038484
High_yield_spread_change,-9.270889265571895e-05
Dollar_index_change,-0.0011797498969942052
QQQ,-0.001421501715641887
SPY,-0.0015258970631497944
GLD,-0.0007702630920728838
SLV,-0.0019529844302419394
PEPE_SMA12,-8.581427343812909e-05
PEPE_SMA26,-0.0018155591862910538
PEPE_RSI_14d_lag1,-0.0007391505671309834
PEPE_BB_percent_b_20d_lag1,0.002421855807597507
