,PEPE,BTC,ETH,SOL,DOGE,SHIB,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5
PEPE,1.0,0.6660058393729975,0.6784621133180371,0.6119615446389821,0.7234866722142417,0.6981227576269131,0.028930273047146824,0.04229474345155957,0.06563983315799062,0.07854298988156334
BTC,0.6660058393729975,1.0,0.8116718753664086,0.7371536181933235,0.7600892195498121,0.6688128171894456,0.0051362105136593455,-0.007481036167433966,0.02731277472064256,0.015528131688804516
ETH,0.6784621133180371,0.8116718753664086,1.0,0.7195202811640891,0.7495963862917929,0.6644371967480133,0.019748755758006623,-0.017084991448560006,0.031868108835426366,0.02849764970727609
SOL,0.6119615446389821,0.7371536181933235,0.7195202811640891,1.0,0.6797444966297761,0.6129186344067423,-0.024118296636043896,-0.006986965385151581,0.021514933698546138,0.020013604825993004
DOGE,0.7234866722142417,0.7600892195498121,0.7495963862917929,0.6797444966297761,1.0,0.8147732596089724,0.05110848147531243,-0.016988564776030685,0.04030219051921271,0.041660364950071735
SHIB,0.6981227576269131,0.6688128171894456,0.6644371967480133,0.6129186344067423,0.8147732596089724,1.0,0.042505897963823126,-0.000956506387093525,0.09319662497009966,0.03904645782009258
PEPE_lag1,0.028930273047146824,0.0051362105136593455,0.019748755758006623,-0.024118296636043896,0.05110848147531243,0.042505897963823126,1.0,0.028482260600023006,0.04454178702261069,-0.016164373688754976
PEPE_lag2,0.04229474345155957,-0.007481036167433966,-0.017084991448560006,-0.006986965385151581,-0.016988564776030685,-0.000956506387093525,0.028482260600023006,1.0,0.025662836606713913,0.0621516409697531
PEPE_lag3,0.06563983315799062,0.02731277472064256,0.031868108835426366,0.021514933698546138,0.04030219051921271,0.09319662497009966,0.04454178702261069,0.025662836606713913,1.0,0.06741935914680566
PEPE_lag5,0.07854298988156334,0.015528131688804516,0.02849764970727609,0.020013604825993004,0.041660364950071735,0.03904645782009258,-0.016164373688754976,0.0621516409697531,0.06741935914680566,1.0
