,coefficient
BTC_lag1,-0.0
ETH_lag1,-0.0
SOL_lag1,-0.0
DOGE_lag1,0.0
SHIB_lag1,0.0
PEPE_lag1,0.0
PEPE_lag2,0.0
PEPE_lag3,0.0
PEPE_lag5,0.0
PEPE_momentum_7d_lag1,0.0
PEPE_momentum_14d_lag1,0.0
PEPE_volatility_7d_lag1,0.0
PEPE_volatility_14d_lag1,0.0
PEPE_volume_from_change_lag1,0.0
PEPE_range_lag1,0.0
BTC_volatility_14d_lag1,0.0
BTC_range_lag1,0.0
BTC_funding_rate_sum_lag1,0.0
BTC_DVOL_change_lag1,0.0
M2_30d_change_lag1,0.0
SOFR_change_lag1,-0.0
DFF_change_lag1,-0.0
US_10Y_change_lag1,0.0
VIX_change_lag1,0.0
High_yield_spread_change_lag1,0.0
Dollar_index_change_lag1,0.0
QQQ_lag1,-0.0
SPY_lag1,-0.0
GLD_lag1,-0.0
SLV_lag1,-0.0
PEPE_SMA12,0.0
PEPE_SMA26,0.0
PEPE_RSI_14d_lag1,0.0
PEPE_BB_percent_b_20d_lag1,0.0
