alpha,l1_ratio,cv_r2_mean
0.0001,0.1,-0.3176740697959972
0.0001,0.5,-0.30998498457848545
0.0001,0.9,-0.3017074407401624
0.001,0.1,-0.29863644594071365
0.001,0.5,-0.2102726402012117
0.001,0.9,-0.14298564250570397
0.01,0.1,-0.12838797822906586
0.01,0.5,-0.024424317761368063
0.01,0.9,-0.014462814661590407
0.1,0.1,-0.01401269856557823
0.1,0.5,-0.01279482275500694
0.1,0.9,-0.01279482275500694
1.0,0.1,-0.01279482275500694
1.0,0.5,-0.01279482275500694
1.0,0.9,-0.01279482275500694
10.0,0.1,-0.01279482275500694
10.0,0.5,-0.01279482275500694
10.0,0.9,-0.01279482275500694
