,coefficient
const,0.010885716694858697
BTC_lag1,-0.21310630584999726
ETH_lag1,-0.0779155148238547
SOL_lag1,-0.07729194969935227
DOGE_lag1,0.06268005293868188
SHIB_lag1,-0.0003429319759555849
PEPE_lag1,0.03497871588918407
PEPE_lag2,-0.01752013917381717
PEPE_lag3,-0.022426071368066184
PEPE_lag5,0.038387522499948916
PEPE_momentum_7d_lag1,0.016964992960316554
PEPE_momentum_14d_lag1,0.030161419301073376
PEPE_volatility_7d_lag1,-0.17513153234199302
PEPE_volatility_14d_lag1,0.318881467548359
PEPE_volume_from_change_lag1,-0.0028859057098229173
PEPE_range_lag1,0.048220315950183404
BTC_volatility_14d_lag1,-0.2770817320072801
BTC_range_lag1,0.039079267485996716
BTC_funding_rate_sum_lag1,21.785250557613153
BTC_DVOL_change_lag1,0.0008905855405791081
M2_30d_change_lag1,2.597122882565049
SOFR_change_lag1,0.017154740069448407
DFF_change_lag1,-0.060637206208038585
US_10Y_change_lag1,0.04163683804793107
VIX_change_lag1,-0.0792406342867658
High_yield_spread_change_lag1,-0.03738165208607874
Dollar_index_change_lag1,1.1025153356111237
QQQ_lag1,0.046173568242066615
SPY_lag1,-0.6490517566518519
GLD_lag1,0.8418540229522626
SLV_lag1,-0.5102321739771105
PEPE_SMA12,-0.33577811375805977
PEPE_SMA26,-0.2563652238770425
PEPE_RSI_14d_lag1,-0.0012778675254059928
PEPE_BB_percent_b_20d_lag1,0.07052466061054655
