,coefficient
BTC_lag1,-0.0001530130182318663
ETH_lag1,-0.00011771874134571928
SOL_lag1,-0.00020263440640578266
DOGE_lag1,4.019994828067035e-05
SHIB_lag1,7.502306965868964e-05
PEPE_lag1,0.0002628206863766611
PEPE_lag2,0.0003077729356137037
PEPE_lag3,0.000200996856851466
PEPE_lag5,0.0003148336006370751
PEPE_momentum_7d_lag1,0.000490241798533364
PEPE_momentum_14d_lag1,0.00023213304010870743
PEPE_volatility_7d_lag1,0.0002327924591992413
PEPE_volatility_14d_lag1,0.0003217651843232164
PEPE_volume_from_change_lag1,2.2694590233630414e-05
PEPE_range_lag1,0.00046282259883758113
BTC_volatility_14d_lag1,0.00014524049829474502
BTC_range_lag1,0.0001542603209169139
BTC_funding_rate_sum_lag1,0.0005089047030700959
BTC_DVOL_change_lag1,0.0001359840625972489
M2_30d_change_lag1,0.00025373677774864
SOFR_change_lag1,-2.843405423282692e-05
DFF_change_lag1,-8.366987527559159e-05
US_10Y_change_lag1,0.0002336733838551856
VIX_change_lag1,-2.217010004211682e-05
High_yield_spread_change_lag1,-1.1105456802976333e-05
Dollar_index_change_lag1,0.0002809968917542761
QQQ_lag1,-0.00019243632790412723
SPY_lag1,-0.00018719332166224745
GLD_lag1,-6.690590382449932e-05
SLV_lag1,-0.0003581798365180631
PEPE_SMA12,0.00027359865787317434
PEPE_SMA26,0.00018816127654076935
PEPE_RSI_14d_lag1,9.512175516511528e-05
PEPE_BB_percent_b_20d_lag1,0.0003852276690754361
